# Scales historical SSP GDP data to GCAM3 GDP data.
# Calculates future GDP based on ratio of GCAM3 future to 2010 value.
iso,year,value
afg,1971,2448.081662105689
alb,1971,2742.145149030339
dza,1971,23130.553505893044
ago,1971,11932.99959099396
arg,1971,124235.67175289712
arm,1971,2496.8719116882858
aus,1971,222656.26749389945
aut,1971,97365.04919137333
aze,1971,11581.128751938826
bhs,1971,2247.5964239140094
bhr,1971,4064.7421391114485
bgd,1971,14236.117591902863
brb,1971,1609.3888754705044
blr,1971,10699.85523992057
bel,1971,132714.61113899288
blz,1971,110.66008050602149
ben,1971,1041.1946524140246
btn,1971,74.48025114551326
bol,1971,4346.211103990278
bih,1971,736.0618128846777
bwa,1971,427.41936848480054
bra,1971,327038.61336777936
brn,1971,3590.064814979105
bgr,1971,15672.791582971908
bfa,1971,1051.7507775856786
mmr,1971,7947.557687041225
bdi,1971,621.2184010590687
khm,1971,680.5844341391605
cmr,1971,3699.2252554805814
can,1971,358378.33861649263
cpv,1971,75.13511087916538
caf,1971,610.309811340532
tcd,1971,1490.0047861807334
chl,1971,30088.360664091433
chn,1971,130762.96157516718
col,1971,42542.85342043647
cod,1971,14217.389408324356
cog,1971,1581.9127368925417
cri,1971,4521.26717625789
civ,1971,6609.102760889536
hrv,1971,14868.515379417311
cub,1971,14040.675571867494
cyp,1971,1840.7917786131334
cze,1971,52240.49686389188
dnk,1971,100465.25953112495
dji,1971,184.51331021823532
dom,1971,4909.984842433882
ecu,1971,10333.550703905315
egy,1971,18949.438695527602
slv,1971,6447.904488989437
gnq,1971,88.63767606326749
eri,1971,514.9642923079201
est,1971,6130.943670187015
eth,1971,4804.022508096145
fji,1971,854.7506043409961
fin,1971,56081.73373331621
fra,1971,723692.240137916
gab,1971,2957.5944631746374
gmb,1971,135.41730110451388
geo,1971,6640.100906234872
deu,1971,1008000.4477825746
gha,1971,6489.142115331797
grc,1971,80930.82072297248
gtm,1971,7325.252932593038
gin,1971,992.8740916904592
gnb,1971,228.6104313600932
guy,1971,1019.5711536637651
hti,1971,3135.5728973039186
hnd,1971,2419.8191904940672
hkg,1971,16241.715406980762
hun,1971,39426.58658232975
isl,1971,2424.7245364993423
ind,1971,138697.00911075764
idn,1971,50239.25950296874
irn,1971,77259.92522599064
irq,1971,14127.633978324651
irl,1971,24192.301003941866
isr,1971,27904.637307278128
ita,1971,617194.4473073769
jam,1971,5824.916970539708
jpn,1971,1291002.4982068937
jor,1971,1376.8632048586755
kaz,1971,36183.56312306734
ken,1971,4496.621044990663
kwt,1971,42536.368811610235
kgz,1971,1540.7588893213854
lao,1971,822.3579052765729
lva,1971,7541.428549312889
lbn,1971,5704.8738655614925
lso,1971,237.8081530225941
lbr,1971,929.2490625265505
lby,1971,8845.52758251746
ltu,1971,12274.849961272856
lux,1971,8003.55093192124
mac,1971,1244.9531997609188
mkd,1971,3541.702035032255
mdg,1971,3398.117095345827
mwi,1971,993.3055193783896
mys,1971,14584.043572282431
mdv,1971,59.39835717291865
mli,1971,1529.686898015233
mlt,1971,752.0727936396597
mrt,1971,794.3889892018453
mus,1971,867.1821865719562
mex,1971,185660.8814811156
mda,1971,3682.606054040169
mng,1971,825.7446785943625
mar,1971,12757.362909376514
moz,1971,1149.2415609013938
nam,1971,2668.352543484059
npl,1971,2234.99860349137
nld,1971,202440.4500024698
nzl,1971,38072.80080072316
nic,1971,3652.323656464567
ner,1971,1905.2453600339848
nga,1971,67681.83474871815
nor,1971,86879.11347842836
omn,1971,3826.466078353306
pak,1971,18188.984726390765
pan,1971,4103.07125677478
png,1971,2115.9812937038755
pry,1971,2237.1009888758254
per,1971,30426.886270536746
phl,1971,31299.689550883704
pol,1971,83988.8778069768
prt,1971,51342.12456644371
pri,1971,21059.562072000863
zaf,1971,91496.70909001093
rom,1971,54535.50745457957
rus,1971,577512.3354728761
rwa,1971,817.583834668695
wsm,1971,218.1098508540717
stp,1971,48.37716086977998
sau,1971,57826.87192450182
sen,1971,2752.2058580037738
srb,1971,14825.893754161683
sle,1971,891.1930504638365
sgp,1971,9980.46606218077
svk,1971,21441.22385048557
svn,1971,9545.47612728584
slb,1971,67.48129343812056
kor,1971,46046.96979194039
esp,1971,310919.3798855968
lka,1971,5189.720180456623
lca,1971,186.96670886377333
vct,1971,112.40314071981109
sdn,1971,7783.232553916676
sur,1971,1687.7325813516952
swz,1971,392.9779156429989
swe,1971,134294.8634729947
che,1971,202368.87522549668
syr,1971,4561.821378923345
twn,1971,22176.42544669584
tjk,1971,3470.836409075191
tza,1971,3074.306867240987
tha,1971,22603.27498760138
tgo,1971,808.4822936742373
ton,1971,139.26578120943282
tto,1971,4377.207929984884
tun,1971,4528.9253475563355
tur,1971,98285.23035634897
tkm,1971,2893.5624143112595
uga,1971,1571.0036854012506
ukr,1971,81733.24983550844
are,1971,25505.853185109805
gbr,1971,613900.2264431292
usa,1971,3256919.8479999998
ury,1971,10249.066080062437
uzb,1971,7139.125528694639
vut,1971,140.87301426581442
ven,1971,111160.57620454252
vnm,1971,10782.717062368478
yem,1971,4864.085290295491
zmb,1971,4553.4303082957085
afg,1972,2539.63140909495
alb,1972,2826.9543331522113
dza,1972,29473.86646595074
ago,1972,12176.538541804563
arg,1972,126258.69819108682
arm,1972,2574.094829126366
aus,1972,231364.24616630934
aut,1972,103409.39067979963
aze,1972,11939.3126842256
bhs,1972,2168.990167238024
bhr,1972,4147.696975785657
bgd,1972,12246.793968050108
brb,1972,1629.8896067515627
blr,1972,11030.781386174804
bel,1972,139689.556663143
blz,1972,121.96757591705277
ben,1972,1108.1055245650603
btn,1972,79.62393785973266
bol,1972,4692.495152389326
bih,1972,758.826550014325
bwa,1972,540.0954828701554
bra,1972,366455.9315112476
brn,1972,3701.098073838431
bgr,1972,15992.64177986781
bfa,1972,1076.0617937680913
mmr,1972,8348.277486786337
bdi,1972,581.43582066666
khm,1972,714.8994272137203
cmr,1972,3798.136319854574
can,1972,377895.0981248949
cpv,1972,79.67671188883729
caf,1972,610.3050616779126
tcd,1972,1507.134576352733
chl,1972,29841.879561158254
chn,1972,139916.4849882929
col,1972,45807.34271603719
cod,1972,14238.881631677219
cog,1972,1718.235310498809
cri,1972,4891.019175724405
civ,1972,6889.108565811442
hrv,1972,15246.397218067397
cub,1972,14718.373266614633
cyp,1972,1949.371704794459
cze,1972,53856.18036168383
dnk,1972,104659.60742928839
dji,1972,187.32313146283875
dom,1972,5420.336090890229
ecu,1972,10852.048943104688
egy,1972,19333.90409430849
slv,1972,6842.357372778376
gnq,1972,89.98750379269124
eri,1972,525.4736464962803
est,1972,6320.559437409231
eth,1972,4852.547568182491
fji,1972,918.7311985259975
fin,1972,60419.92384455794
fra,1972,756533.5184497287
gab,1972,3292.8962361170115
gmb,1972,135.74463202003534
geo,1972,6828.477803123857
deu,1972,1051347.7159383923
gha,1972,6327.715595755821
grc,1972,89153.54219776526
gtm,1972,7862.413387834538
gin,1972,1023.5819798757174
gnb,1972,243.18411143241022
guy,1972,985.7449800337873
hti,1972,3178.893778445183
hnd,1972,2559.256751168235
hkg,1972,17965.255826755314
hun,1972,41831.6112334397
isl,1972,2574.5077859041103
ind,1972,137929.6087600399
idn,1972,54199.475421009454
irn,1972,89844.3542387449
irq,1972,14895.964471305359
irl,1972,25762.334966558316
isr,1972,31716.650558085767
ita,1972,639971.9821390818
jam,1972,6873.903048675669
jpn,1972,1399622.004910048
jor,1972,1604.771807599213
kaz,1972,37302.64300698471
ken,1972,5264.752975686863
kwt,1972,44408.44173629978
kgz,1972,1588.4118585767771
lao,1972,839.1407062072097
lva,1972,7928.7305521581475
lbn,1972,5881.313277067013
lso,1972,237.3261282342596
lbr,1972,967.7246281206466
lby,1972,7680.930098497346
ltu,1972,12654.479939637029
lux,1972,8531.640850910382
mac,1972,1321.60615768467
mkd,1972,3613.982004969324
mdg,1972,3354.871417196036
mwi,1972,1055.201539413758
mys,1972,15952.302631370958
mdv,1972,64.7887624732022
mli,1972,1619.0828049416618
mlt,1972,795.9814455300775
mrt,1972,788.5666944408767
mus,1972,939.5604481382321
mex,1972,200938.56710168836
mda,1972,3796.500324952331
mng,1972,860.1507068691277
mar,1972,13068.287698600094
moz,1972,1197.9994863911638
nam,1972,2695.3055594985226
npl,1972,2304.6807718457626
nld,1972,207514.73886841655
nzl,1972,40021.79187283271
nic,1972,3733.431402120113
ner,1972,1806.8145393248433
nga,1972,69958.83620197389
nor,1972,91455.94115252761
omn,1972,4202.426282668615
pak,1972,18336.9367169856
pan,1972,4291.002872793194
png,1972,2235.3983667618377
pry,1972,2385.449444364311
per,1972,31300.07875934835
phl,1972,33004.514980587024
pol,1972,86586.34955197043
prt,1972,55457.54890408116
pri,1972,22615.465788324553
zaf,1972,93010.79598502285
rom,1972,56222.17861827091
rus,1972,595373.5077207298
rwa,1972,819.7343763547087
wsm,1972,220.31296866658099
stp,1972,49.223854199227425
sau,1972,71412.56280119737
sen,1972,2927.8853234901853
srb,1972,15206.038279309627
sle,1972,899.2160222384681
sgp,1972,11330.478500706373
svk,1972,22104.349316446187
svn,1972,9840.694046097153
slb,1972,72.49561781349719
kor,1972,49045.00301459183
esp,1972,336258.56609004055
lka,1972,5168.417283933175
lca,1972,192.7492252003043
vct,1972,141.43848798767056
sdn,1972,7388.542186996768
sur,1972,1702.813419843708
swz,1972,414.2941376087965
swe,1972,137368.55486312124
che,1972,208845.76584997177
syr,1972,5703.5353842483255
twn,1972,25064.36544788137
tjk,1972,3541.669051264065
tza,1972,3168.734777842542
tha,1972,23570.359070943778
tgo,1972,870.12961609745
ton,1972,143.36612536825362
tto,1972,4630.226415773406
tun,1972,5332.479866262929
tur,1972,105583.74664644687
tkm,1972,2983.0539741654393
uga,1972,1603.0652274330419
ukr,1972,84261.05986208394
are,1972,26100.9595243082
gbr,1972,636115.1241570425
usa,1972,3428326.138999999
ury,1972,10113.826033728177
uzb,1972,7284.821429545251
vut,1972,145.02065714822024
ven,1972,112586.53047094967
vnm,1972,11059.193604094009
yem,1972,4995.41544074846
zmb,1972,4972.749654923385
afg,1973,2631.181156084211
alb,1973,2914.3857268452193
dza,1973,30597.761980023897
ago,1973,12425.038251351003
arg,1973,129808.74116141904
arm,1973,2653.7064310567957
aus,1973,237373.03115262632
aut,1973,108463.22960946836
aze,1973,12308.565969117079
bhs,1973,2333.129271909979
bhr,1973,4232.343879768032
bgd,1973,12654.084134418743
brb,1973,1651.7413531777
blr,1973,11371.9390973217
bel,1973,148241.78598215783
