"Supplementary Table 3 - GHG food system emissions (Mt CO2eq, GWP-100 AR5), including LULUC. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country_code_A3,Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,
CPV,Cape Verde,0.144,0.155,0.182,0.185,0.168,0.197,0.167,0.182,0.198,0.204,0.205,0.207,0.210,0.212,0.233,0.234,0.236,0.242,0.243,0.255,0.262,0.256,0.261,0.286,0.290,0.301,
CRI,Costa Rica,13.397,13.472,13.959,14.003,13.750,13.294,13.288,13.361,13.519,13.378,13.230,6.725,6.465,7.507,6.401,6.501,6.401,6.879,7.013,6.998,7.506,20.901,20.805,20.943,20.992,21.059,
CUB,Cuba,25.371,24.297,23.583,20.978,21.672,20.911,21.957,21.821,21.438,20.929,20.817,19.702,19.811,19.695,19.281,18.419,19.024,19.120,19.516,20.066,19.868,20.397,20.376,20.562,20.548,20.113,
CYM,Cayman Islands,0.022,0.022,0.023,0.022,0.024,0.027,0.028,0.029,0.034,0.042,0.041,0.042,0.040,0.040,0.046,0.044,0.042,0.048,0.058,0.051,0.053,0.052,0.080,0.076,0.075,0.078,
CYP,Cyprus,1.277,1.646,1.581,1.651,1.694,1.720,1.841,1.786,1.838,1.903,1.953,1.968,2.057,2.155,2.206,2.266,2.306,2.363,2.390,2.328,2.445,2.335,2.274,2.190,2.292,2.263,
CZE,Czech Republic,32.171,29.931,27.141,28.397,28.181,28.170,27.074,25.866,25.168,24.596,25.399,25.991,25.072,25.078,24.922,24.652,24.551,24.836,24.589,22.697,23.683,23.584,23.175,23.011,23.253,23.690,
DEU,Germany,214.344,211.014,203.551,197.842,197.250,198.617,199.054,197.599,196.569,191.490,188.728,196.464,198.906,198.193,197.705,194.374,184.516,185.667,185.093,180.537,182.837,180.738,180.275,181.950,180.832,179.568,
DJI,Djibouti,0.839,0.857,0.870,0.898,0.901,0.980,1.006,1.028,1.038,1.074,1.081,1.091,1.095,1.113,1.134,1.140,1.139,1.149,1.137,1.126,1.119,1.148,1.168,1.155,1.174,1.181,
DMA,Dominica,0.154,0.155,0.156,0.157,0.158,0.158,0.159,0.161,0.163,0.166,0.167,0.165,0.168,0.169,0.170,0.166,0.169,0.167,0.165,0.163,0.161,0.159,0.166,0.164,0.164,0.164,
DNK,Denmark,25.277,26.342,25.475,25.749,25.850,25.693,26.095,25.732,25.345,24.840,24.540,26.082,25.625,26.005,25.283,24.855,24.178,23.961,23.155,22.455,22.868,22.235,21.527,21.475,21.168,21.006,
DOM,Dominican Republic,9.887,10.448,10.228,10.592,10.759,10.984,11.372,11.659,12.062,11.340,11.158,11.613,12.552,12.166,12.516,12.790,13.074,14.040,14.340,14.913,15.436,15.343,15.529,15.760,15.814,16.139,
DZA,Algeria,30.503,30.807,37.375,37.227,35.960,36.251,35.990,33.997,33.360,33.906,34.946,33.850,33.895,36.175,36.160,37.181,36.812,37.407,38.103,41.175,42.322,44.590,47.287,48.164,52.391,54.666,
ECU,Ecuador,59.375,59.105,60.643,61.930,62.781,63.377,64.048,64.402,62.759,62.307,60.470,55.986,56.540,57.619,58.986,57.539,57.990,57.670,57.566,58.960,59.930,59.983,60.185,60.554,59.782,59.116,
EGY,Egypt,40.571,42.613,44.316,45.358,45.901,47.910,48.995,50.344,49.909,52.147,53.379,54.293,56.818,57.774,62.998,67.758,69.813,71.842,74.506,74.032,77.405,81.410,83.007,75.989,76.574,76.293,
ERI,Eritrea,3.116,3.126,3.185,4.606,4.686,4.739,5.111,5.562,5.808,5.885,6.009,5.848,5.806,5.946,6.016,6.089,5.933,6.183,6.176,6.343,6.134,6.303,6.349,6.406,6.445,6.484,
ESH,Western Sahara,0.498,0.503,0.505,0.508,0.510,0.516,0.523,0.531,0.536,0.544,0.556,0.569,0.577,0.589,0.600,0.608,0.614,0.620,0.625,0.631,0.636,0.641,0.642,0.637,0.632,0.632,
ESP,Spain,80.586,82.143,82.181,79.587,82.308,85.564,86.035,90.694,92.108,96.310,102.197,103.845,106.130,111.086,112.081,112.554,108.949,112.401,105.250,100.651,98.740,98.600,97.162,93.881,94.462,97.052,
EST,Estonia,8.529,8.549,8.668,7.723,6.799,6.333,6.333,6.047,6.092,5.804,5.882,6.228,6.284,6.116,6.414,6.311,7.377,7.659,7.653,7.073,7.216,6.499,6.756,7.117,7.042,6.902,
ETH,Ethiopia,85.868,86.171,87.590,84.929,85.709,86.273,82.581,84.202,91.949,92.089,84.572,94.636,110.554,106.745,107.559,101.414,114.705,112.884,125.275,127.356,132.123,123.317,135.164,142.453,134.812,137.892,
FIN,Finland,29.567,28.878,28.083,28.114,28.826,27.586,26.731,26.364,26.595,28.935,28.967,58.941,59.087,60.615,62.260,60.458,52.082,49.724,49.087,48.654,50.144,29.124,29.671,29.480,28.716,27.884,
FJI,Fiji,2.027,2.031,2.056,2.132,2.153,2.200,2.195,2.199,2.179,2.158,2.157,2.309,2.281,2.320,2.348,2.335,3.185,3.188,3.215,3.205,3.153,1.555,1.646,1.623,1.598,1.604,
FLK,Falkland Islands (Malvinas),0.337,0.336,0.330,0.330,0.415,0.414,0.418,0.428,0.424,0.423,0.408,0.610,0.492,0.401,0.456,0.400,0.399,0.402,0.404,0.402,0.402,0.402,0.563,0.404,0.404,0.403,
FRA,France,161.170,162.592,160.185,158.505,159.429,161.600,164.156,164.617,168.335,171.257,173.673,177.612,177.037,176.021,177.129,173.778,176.210,178.454,176.479,177.763,181.848,176.704,176.945,173.249,169.633,171.064,
FRO,Faroe Islands,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.052,0.053,0.052,0.053,0.053,0.053,0.053,0.050,0.050,0.050,0.050,0.050,0.050,0.051,0.051,0.051,0.052,
FSM,"Micronesia, Federated States of",0.027,0.379,0.380,0.380,0.380,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.391,0.385,0.385,0.385,0.385,0.385,0.033,0.033,0.034,0.033,0.034,
GAB,Gabon,4.788,3.922,3.843,3.836,3.660,3.785,3.333,3.175,3.153,3.009,2.697,2.834,3.023,3.259,3.507,3.211,3.106,3.061,3.883,2.552,2.932,3.362,2.945,3.281,2.873,3.370,
GBR,United Kingdom,156.309,154.686,153.979,153.028,154.699,154.003,156.456,153.517,150.129,146.770,144.356,143.937,141.596,142.623,140.266,138.941,135.289,133.399,129.238,122.185,121.656,117.317,118.268,116.369,113.888,112.854,
GEO,Georgia,8.551,8.639,7.208,6.360,5.956,5.618,5.799,5.812,5.583,5.733,5.845,5.540,5.697,5.856,5.816,6.097,5.864,5.879,5.585,5.437,5.533,5.842,6.297,6.410,6.569,6.202,
GHA,Ghana,6.001,6.386,6.382,6.499,6.668,6.875,6.886,7.500,8.660,8.253,8.583,8.760,8.127,8.112,8.713,8.740,9.004,9.365,9.479,10.285,10.481,11.068,11.746,12.222,12.194,13.073,
GIB,Gibraltar,0.019,0.025,0.029,0.030,0.034,0.034,0.034,0.035,0.038,0.038,0.040,0.041,0.041,0.042,0.045,0.046,0.048,0.047,0.048,0.052,0.053,0.051,0.053,0.055,0.060,0.063,
GIN,Guinea,22.265,22.465,22.717,22.994,23.361,23.650,21.572,21.743,22.538,22.806,22.757,23.673,23.715,26.227,28.456,27.434,29.005,30.271,26.768,28.822,30.580,32.315,32.377,32.780,33.407,34.357,
GLP,Guadeloupe,0.317,0.329,0.327,0.319,0.329,0.327,0.375,0.383,0.404,0.405,0.407,0.416,0.468,0.447,0.448,0.439,0.570,0.595,0.623,0.579,0.587,0.450,0.558,0.552,0.555,0.561,
GMB,Gambia,0.765,0.796,0.790,0.786,0.811,0.829,0.957,0.976,0.962,1.209,1.136,1.003,0.893,0.973,1.005,1.033,1.064,1.086,1.171,1.357,1.435,1.211,1.252,1.311,1.384,1.420,
GNB,Guinea-Bissau,2.966,2.979,3.019,3.040,3.065,3.110,3.018,3.069,3.313,3.566,3.360,3.708,3.287,3.211,3.171,3.199,3.339,3.429,3.516,3.701,3.843,3.801,3.908,3.952,3.795,3.941,
GNQ,Equatorial Guinea,5.446,5.449,5.452,5.456,5.756,5.875,5.884,6.015,6.079,6.071,6.026,6.053,5.915,5.962,6.045,6.045,6.120,6.177,6.253,6.185,6.241,6.184,6.012,6.045,6.041,6.026,
GRC,Greece,26.658,26.757,26.629,26.296,26.670,26.679,27.012,27.404,27.853,27.173,28.329,28.045,28.022,28.818,28.498,28.482,28.624,29.863,28.478,26.489,26.094,24.506,22.661,22.447,22.082,21.547,
GRD,Grenada,0.047,0.047,0.048,0.048,0.048,0.049,0.050,0.053,0.055,0.060,0.054,0.059,0.058,0.059,0.063,0.062,0.061,0.062,0.063,0.064,0.064,0.064,0.077,0.081,0.077,0.079,
GRL,Greenland,0.044,0.044,0.044,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.159,0.175,0.147,0.207,0.204,0.186,0.178,0.182,0.198,0.201,0.197,0.188,
GTM,Guatemala,26.449,26.769,27.333,27.646,27.796,28.094,27.629,27.650,29.706,28.519,29.460,27.779,29.172,33.467,28.557,32.480,28.049,30.071,29.145,30.753,30.383,29.695,30.115,31.519,31.152,32.385,
GUF,French Guiana,0.110,0.122,0.117,0.114,0.117,0.121,0.127,0.131,0.143,0.159,0.159,0.160,0.157,0.155,0.169,0.172,0.169,0.154,0.152,0.149,0.163,0.150,0.196,0.200,0.203,0.208,
GUM,Guam,0.040,0.041,0.042,0.043,0.044,0.045,0.046,0.047,0.047,0.048,0.049,0.049,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.051,0.051,0.051,0.051,0.052,0.052,0.052,
GUY,Guyana,23.698,23.984,24.071,24.237,24.210,24.847,15.943,15.872,19.355,14.916,14.354,17.567,19.175,47.430,17.634,26.388,22.197,21.515,24.268,26.165,38.075,24.093,28.739,26.507,34.771,46.002,
HKG,Hong Kong,5.066,5.410,5.663,5.993,5.806,5.925,5.923,5.889,6.604,6.966,6.693,6.653,6.569,6.790,6.516,6.647,6.646,6.763,6.724,6.994,6.863,7.041,7.036,7.143,7.300,7.146,
HND,Honduras,48.456,48.554,48.623,48.267,48.758,48.683,47.885,48.261,48.433,47.584,48.004,35.011,35.930,40.203,36.729,39.137,37.167,37.869,38.259,38.987,38.888,40.294,38.304,39.572,40.331,39.443,
HRV,Croatia,11.374,9.220,8.523,8.183,7.965,7.822,7.630,8.164,7.912,8.275,8.304,8.214,8.272,8.350,9.058,9.074,9.339,9.618,9.542,8.854,8.824,8.643,8.241,8.192,8.325,8.504,
HTI,Haiti,4.466,4.661,5.102,4.943,4.906,4.985,5.103,5.377,5.485,5.560,5.950,6.022,6.085,6.133,6.183,6.287,6.316,6.386,6.416,6.488,6.505,6.558,6.618,6.667,6.724,6.842,
HUN,Hungary,33.203,30.432,26.207,25.629,25.547,24.748,26.145,25.633,25.351,25.601,25.454,26.262,25.373,25.344,26.405,25.814,25.693,24.703,23.971,22.416,22.495,22.400,21.763,22.216,22.841,22.498,
IDN,Indonesia,1764.100,1774.171,1794.731,1803.525,1811.309,1830.093,1626.173,2576.316,1813.525,1701.569,1642.311,871.148,1391.587,1003.479,1376.313,1093.923,1599.401,985.435,982.413,1395.721,993.897,1183.837,1207.283,1163.410,1541.440,1580.602,
IND,India,792.505,807.735,817.921,830.817,844.551,860.712,864.386,873.505,888.207,898.046,892.139,897.631,889.010,905.692,928.161,945.210,970.401,999.651,1007.452,1029.303,1046.897,1063.136,1088.986,1099.330,1121.027,1127.061,
IRL,Ireland,28.887,29.138,29.078,29.504,30.086,30.362,30.358,31.168,32.054,32.442,33.625,34.086,33.760,32.851,32.816,32.866,33.198,32.245,31.619,30.856,30.504,29.229,30.062,30.327,30.535,31.377,
IRN,"Iran, Islamic Republic of",100.183,103.245,112.444,104.749,113.054,110.637,113.309,111.957,112.222,109.027,111.388,110.810,111.876,119.061,122.953,128.905,135.363,137.216,136.785,140.067,143.397,142.686,143.391,146.728,139.772,143.017,
IRQ,Iraq,24.254,18.743,20.641,23.326,22.962,22.347,21.942,25.348,25.050,26.534,27.176,28.099,28.215,23.891,26.501,28.068,27.767,27.499,28.909,30.963,33.256,35.620,36.536,37.038,37.264,37.073,
ISL,Iceland,1.750,1.719,1.817,1.866,1.881,1.834,1.987,2.002,1.944,1.952,1.872,1.851,1.968,1.966,1.922,1.924,1.980,1.789,1.844,1.921,1.878,1.783,1.752,1.838,1.815,1.878,
ISR,Israel,8.028,8.159,8.644,9.044,9.531,10.073,10.701,11.083,11.271,11.693,12.236,12.437,12.973,13.396,13.790,13.576,14.334,14.696,14.596,14.449,14.895,15.070,15.712,15.718,15.308,15.734,
ITA,Italy,110.888,109.533,108.939,105.882,105.826,107.188,109.256,109.816,112.442,115.846,118.690,115.299,118.710,121.357,121.133,121.563,119.607,119.431,118.897,111.055,110.111,107.141,104.589,100.708,97.819,98.576,
JAM,Jamaica,2.457,2.491,3.358,2.610,2.524,2.655,2.601,2.580,2.634,2.699,2.725,2.766,2.831,2.883,2.813,2.762,2.913,2.908,2.467,2.601,2.367,2.344,2.481,2.359,2.227,2.254,
JOR,Jordan,2.662,3.466,3.508,3.473,3.506,3.664,3.778,3.835,3.806,3.907,3.894,3.959,4.185,4.279,4.586,4.870,4.980,5.351,5.635,5.750,5.864,6.165,7.109,7.558,8.144,8.164,
JPN,Japan,197.024,197.840,198.179,196.737,203.212,202.819,203.082,201.400,196.853,202.465,206.839,204.322,207.637,208.743,209.476,209.120,213.052,220.287,217.647,208.335,215.008,214.105,217.581,217.640,214.136,209.610,
KAZ,Kazakhstan,70.508,71.818,71.419,70.379,67.122,55.777,48.757,40.938,36.896,36.861,36.469,39.468,42.261,45.043,46.153,46.122,45.367,46.818,49.875,47.247,48.974,47.290,52.152,50.276,53.151,53.440,
KEN,Kenya,88.597,87.829,88.105,88.435,88.912,89.138,87.331,87.796,87.952,90.667,88.115,30.949,33.672,35.655,38.826,40.283,39.033,57.847,63.097,59.505,61.102,62.563,63.585,59.694,60.121,61.612,
KGZ,Kyrgyzstan,9.835,9.380,8.765,7.978,7.155,6.151,5.787,5.583,5.668,5.741,5.773,5.689,5.737,5.810,5.807,5.900,11.898,11.968,11.776,11.923,11.427,7.616,7.889,8.347,8.657,8.867,
KHM,Cambodia,46.369,45.621,45.926,46.860,44.850,47.716,44.797,46.263,49.133,48.312,46.974,49.030,49.994,52.226,53.015,55.220,48.989,49.915,49.887,50.199,50.940,52.811,51.521,53.590,51.566,52.955,
KIR,Kiribati,0.018,0.018,0.018,0.018,0.017,0.018,0.018,0.018,0.019,0.019,0.020,0.021,0.021,0.022,0.022,0.023,0.023,0.024,0.025,0.027,0.028,0.032,0.036,0.032,0.030,0.029,
KNA,Saint Kitts and Nevis,0.040,0.042,0.043,0.042,0.042,0.042,0.043,0.046,0.047,0.048,0.050,0.050,0.051,0.056,0.059,0.057,0.047,0.053,0.057,0.055,0.056,0.055,0.067,0.063,0.063,0.064,
KOR,"Korea, Republic of",61.302,64.708,67.226,71.853,75.911,79.828,84.158,86.326,77.392,79.284,83.357,86.013,85.851,85.878,86.997,86.085,87.163,88.477,85.611,87.019,90.912,91.523,91.318,91.505,89.022,88.997,
KWT,Kuwait,6.386,5.102,7.096,8.618,9.862,9.661,9.789,10.327,9.475,9.674,10.137,10.186,10.520,11.385,11.841,12.720,13.271,13.475,14.065,14.391,14.437,15.238,15.831,17.001,17.092,16.966,
LAO,Lao People's Democratic Republic,40.833,40.637,41.052,41.167,41.773,41.842,38.330,38.271,39.963,39.068,38.709,9.709,12.018,12.600,23.012,15.498,12.233,22.668,12.263,14.565,23.798,13.186,17.320,19.211,17.910,18.613,
LBN,Lebanon,1.972,2.256,2.414,3.015,3.067,3.494,3.553,3.725,3.613,3.651,3.590,3.709,3.785,3.795,3.932,3.835,3.871,3.705,4.098,4.661,4.486,4.727,5.242,5.227,5.625,5.810,
LBR,Liberia,16.715,16.651,16.634,16.588,16.571,16.592,15.739,15.799,15.875,15.911,15.952,15.962,15.975,16.430,16.276,16.074,16.834,16.487,16.497,20.993,16.634,16.834,17.134,17.061,18.639,21.574,
LBY,Libyan Arab Jamahiriya,10.416,10.340,10.773,11.629,12.596,13.399,13.981,12.167,11.650,11.384,11.244,10.991,10.773,11.686,11.876,13.300,13.063,12.570,12.532,12.714,13.762,9.659,11.519,10.810,10.171,9.849,
