# GCAM population data interpolated to all historical and future years
iso,year,value
abw,1971,59.6826583554507
afg,1971,11739.241934726566
ago,1971,6163.744237390553
aia,1971,6.8859971568250495
alb,1971,2192.11215175244
and,1971,25.502567995344098
ant,1971,161.65525958800225
are,1971,278.2903038139847
arg,1971,24358.598435669854
arm,1971,2579.104222606061
asm,1971,28.627294741196373
atg,1971,64.61973155756631
aus,1971,12912.948020255948
aut,1971,7533.6695190721985
aze,1971,5266.9606526673915
bdi,1971,3601.8543089334275
bel,1971,9641.988237843441
ben,1971,3037.1636814565536
bfa,1971,5839.887262373795
bgd,1971,67038.07078197936
bgr,1971,8519.8663068092
bhr,1971,220.9625273050755
bhs,1971,174.59888591472017
bih,1971,3787.874643641208
blr,1971,8957.150343389429
blz,1971,125.302455991786
bmu,1971,53.044623020011855
bol,1971,4600.44453387454
bra,1971,97880.88509171826
brb,1971,241.0741617630145
brn,1971,138.78979791426718
btn,1971,314.01126562621255
bwa,1971,659.5041658721505
caf,1971,1877.9839441703587
can,1971,21738.6813758454
che,1971,6189.253438872868
chi,1971,122.14272295528218
chl,1971,9983.317272249587
chn,1971,844060.2688655485
civ,1971,5437.216954462892
cmr,1971,6825.8380672868025
cod,1971,20982.673167468896
cog,1971,1393.7035070335355
cok,1971,21.200678435295394
col,1971,22093.809232842705
com,1971,239.4204591293916
cpv,1971,276.8318190362256
cri,1971,1903.8175606767816
cub,1971,8904.28613655418
cym,1971,9.619109472496934
cyp,1971,619.4881984045282
cze,1971,9802.156787873819
deu,1971,78615.97780415954
dji,1971,172.81976953880482
dma,1971,71.86016980455747
dnk,1971,4950.806869662918
dom,1971,4646.100160984608
dza,1971,15174.992428048852
ecu,1971,6272.922511737771
egy,1971,36030.726142308165
eri,1971,1374.5993779857881
esh,1971,77.92664336028152
esp,1971,34191.806474945886
est,1971,1368.7409408768153
eth,1971,29844.03409408153
fin,1971,4619.1587396332425
fji,1971,543.8561978178936
flk,1971,1.9690056028775038
fra,1971,51049.60558849783
fro,1971,39.37088023632722
fsm,1971,63.50913779741829
gab,1971,612.8391956286175
gbr,1971,55625.44318901553
geo,1971,4742.337771350868
gha,1971,9155.905108845995
gib,1971,28.94195732512817
gin,1971,4309.016251627301
glp,1971,325.5034351559558
gmb,1971,487.8486227523747
gnb,1971,732.987158001169
gnq,1971,304.92936759082767
grc,1971,8697.62691769158
grd,1971,94.60564860210162
grl,1971,47.081817497879676
gtm,1971,5804.078280123077
guf,1971,49.831605846612774
gum,1971,87.69666484361778
guy,1971,716.5975495584032
hkg,1971,4003.564610915216
hnd,1971,2809.546080846716
hrv,1971,4418.503725557165
hti,1971,4776.602759769511
hun,1971,10350.588719167845
idn,1971,120589.96663888905
imn,1971,56.23456432761836
ind,1971,562462.5333333333
irl,1971,2937.587714866646
irn,1971,29368.052356991684
irq,1971,10286.133009830413
isl,1971,206.63076806681866
isr,1971,2908.5830478379066
ita,1971,53769.89214670099
jam,1971,1912.0500323432746
jor,1971,1814.5240707489877
jpn,1971,106836.2
kaz,1971,13206.157842666069
ken,1971,11951.481094613979
kgz,1971,3029.6532111463116
khm,1971,7100.115963828099
kir,1971,53.17491354514678
kna,1971,44.6716263498318
kor,1971,32538
kwt,1971,801.0001939612007
lao,1971,2825.763804613022
lbn,1971,2360.9979234673146
lbr,1971,1465.9845195642927
lby,1971,2273.502575507225
lca,1971,105.67666123714874
lie,1971,21.680026503495306
lka,1971,13040.867248249453
lso,1971,1074.0412163363453
ltu,1971,3159.5379215083685
lux,1971,341.4703953509381
lva,1971,2390.4057124737124
mac,1971,254.4559762484171
mar,1971,16683.722729709883
mco,1971,23.668626136294744
mda,1971,3634.446647045497
mdg,1971,6895.414115543374
mdv,1971,122.04450819090228
mex,1971,53293.05243111487
mhl,1971,21.80294213904797
mkd,1971,1731.5612430761196
mli,1971,6167.573634192145
mlt,1971,319.6476845787573
mmr,1971,28555.42983783842
mne,1971,520.393818771255
mng,1971,1309.7577135339882
mnp,1971,13.737705155786381
moz,1971,9420.596729868537
mrt,1971,1205.7283869234443
msr,1971,11.564017097572775
mtq,1971,325.6124856850669
mus,1971,856.6890210025356
mwi,1971,4927.391899972528
mys,1971,11316.735636282778
myt,1971,39.29697815605879
nam,1971,859.5011226772452
ncl,1971,112.35476634596904
ner,1971,4732.399790306203
nga,1971,58463.33158567425
nic,1971,2491.470847348123
niu,1971,4.918224495411081
nld,1971,13118.902532499727
nor,1971,3896.6465124852084
npl,1971,12607.28505929098
nru,1971,6.831513517785498
nzl,1971,2844.348727309636
omn,1971,751.1795188216155
pak,1971,61107.654152351155
pan,1971,1569.4741839972494
per,1971,13892.852700902295
phl,1971,37696.773418463956
plw,1971,12.330073739123783
png,1971,2915.0368938847478
pol,1971,32739.882112794083
pri,1971,2564.911103654502
prk,1971,14727.523149078306
prt,1971,8680.788178402507
pry,1971,2546.2254692431343
pse,1971,1147.5394268305965
pyf,1971,117.01140748597497
qat,1971,119.76660025603819
reu,1971,479.6888342572172
rom,1971,20688.443972386485
rus,1971,130395.72464106733
rwa,1971,3950.2467690264093
sau,1971,6118.639652415908
sdn,1971,10837.684760189808
sen,1971,4476.853621863636
sgp,1971,2159.489708003149
shn,1971,5.917045577518889
slb,1971,169.98172344149057
sle,1971,2855.6953728049616
slv,1971,3785.4499205399084
smr,1971,19.346190808002138
som,1971,3543.051181388607
spm,1971,5.651957487931241
srb,1971,8150.524123742157
stp,1971,77.90113445539484
sur,1971,370.7433721489433
svk,1971,4554.625989598917
svn,1971,1673.7330714959753
swe,1971,8077.918207235446
swz,1971,453.01468259529287
syc,1971,54.80333125858588
syr,1971,6590.259129236021
tca,1971,5.995376060571942
tcd,1971,3802.0400316346836
tgo,1971,2230.153762898963
tha,1971,38835.975866494286
tjk,1971,3010.370537291782
tkl,1971,1.5733562648494759
tkm,1971,2251.454248400245
tls,1971,598.7047196462235
ton,1971,87.4644465793864
tto,1971,959.642725089112
tun,1971,5281.664672819992
tur,1971,35641.731086189604
tuv,1971,5.898548509067263
twn,1971,15619.138555577156
tza,1971,14256.105554439173
uga,1971,9868.742272699057
ukr,1971,47277.29503883774
ury,1971,2829.7863740352955
usa,1971,203356.4888963455
uzb,1971,12405.060268672374
vct,1971,91.86450362716253
ven,1971,11793.89674456451
vgb,1971,10.05789348496887
vir,1971,69.04472273139658
vnm,1971,44237.73430801101
vut,1971,90.03316931720602
wlf,1971,8.810993238857929
wsm,1971,148.75574650520252
yem,1971,6308.938905149929
zaf,1971,23126.649686811023
zmb,1971,4407.146968014044
zwe,1971,5588.4725161666765
abw,1972,60.02531454708758
afg,1972,12053.499187778883
ago,1972,6356.100093771773
aia,1972,6.969516802693259
alb,1972,2244.2306826281347
and,1972,26.85864230963677
ant,1972,163.0072479137687
are,1972,330.57485302738
arg,1972,24729.52179076531
arm,1972,2646.1471779850076
asm,1972,29.20244532028967
atg,1972,64.33160925548744
aus,1972,13131.592549680478
aut,1972,7571.713141845404
aze,1972,5376.447372352496
bdi,1972,3631.1059582018206
bel,1972,9680.82268616665
ben,1972,3095.9519091944294
bfa,1972,5925.434028801679
bgd,1972,68107.72944965345
bgr,1972,8571.139264169235
bhr,1972,228.8786443813994
bhs,1972,178.4168214778122
bih,1972,3834.3660166807695
blr,1972,9041.903215155631
blz,1972,127.54376244422103
bmu,1972,53.68532431308924
bol,1972,4696.890584594544
bra,1972,100168.63093337385
brb,1972,242.26293186563933
brn,1972,145.1811422017776
btn,1972,323.8755328153721
bwa,1972,678.5737757730748
caf,1972,1899.9296709614046
can,1972,22087.25008048758
che,1972,6243.5337039463275
chi,1972,123.46066527084041
chl,1972,10134.963401257199
chn,1972,860054.7091027369
civ,1972,5672.010996255605
cmr,1972,6985.373688135659
cod,1972,21484.89719616443
cog,1972,1430.7306102425105
cok,1972,21.124894178993326
col,1972,22586.154630696972
com,1972,243.35263688827263
cpv,1972,276.5218754346927
cri,1972,1950.189768678087
cub,1972,9053.294995337303
cym,1972,10.164380219011338
cyp,1972,627.2190113478832
cze,1972,9847.992159271074
deu,1972,78803.94568057638
dji,1972,182.30874660339737
dma,1972,71.95313900028644
